Z	A	EL	mass excess	err	B/A	err	est
47	128	Ag	-54620.	300.	8211.	2.	1
48	128	Cd	-67241.890	7.244	8303.264	0.057	0
49	128	In	-74145.941	153.479	8351.090	1.199	0
50	128	Sn	-83362.008	17.660	8416.979	0.138	0
51	128	Sb	-84630.286	19.119	8420.775	0.149	0
52	128	Te	-88993.716	0.866	8448.752	0.007	0
53	128	I	-87738.724	3.647	8432.836	0.028	0
54	128	Xe	-89860.298	1.061	8443.298	0.008	0
55	128	Cs	-85931.581	5.443	8406.493	0.043	0
56	128	Ba	-85378.497	5.195	8396.060	0.041	0
57	128	La	-78625.431	54.448	8337.190	0.425	0
58	128	Ce	-75533.917	27.945	8306.925	0.218	0
59	128	Pr	-66330.757	29.808	8228.913	0.233	0
60	128	Nd	-60314.	196.	8176.	2.	1
61	128	Pm	-47786.	298.	8072.	2.	1
62	128	Sm	-38670.	500.	7994.	4.	1
46	129	Pd	-37610.	600.	8084.	5.	1
47	129	Ag	-51980.	400.	8189.	3.	1
48	129	Cd	-63058.046	16.767	8269.034	0.130	0
49	129	In	-72837.720	2.693	8338.780	0.021	0
50	129	Sn	-80590.903	17.277	8392.818	0.134	0
51	129	Sb	-84629.307	21.231	8418.058	0.165	0
52	129	Te	-87004.807	0.869	8430.409	0.007	0
53	129	I	-88507.125	3.168	8435.990	0.025	0
54	129	Xe	-88696.05896	0.00537	8431.390	0.000	0
55	129	Cs	-87499.246	4.555	8416.047	0.035	0
56	129	Ba	-85063.198	10.577	8391.098	0.082	0
57	129	La	-81324.573	21.351	8356.052	0.166	0
58	129	Ce	-76287.496	27.945	8310.940	0.217	0
59	129	Pr	-69773.558	29.808	8254.380	0.231	0
60	129	Nd	-62315.	202.	8190.	2.	1
61	129	Pm	-52881.	298.	8111.	2.	1
62	129	Sm	-42000.	500.	8021.	4.	1
47	130	Ag	-45697.	500.	8140.	4.	1
48	130	Cd	-61117.589	22.356	8252.586	0.172	0
49	130	In	-69883.206	38.046	8313.996	0.293	0
50	130	Sn	-80132.206	1.873	8386.816	0.014	0
51	130	Sb	-82285.676	14.212	8397.363	0.109	0
52	130	Te	-87352.949	0.011	8430.324	0.000	0
53	130	I	-86936.138	3.168	8421.100	0.024	0
54	130	Xe	-89880.463	0.009	8437.731	0.000	0
55	130	Cs	-86899.743	8.357	8408.784	0.064	0
56	130	Ba	-87261.544	2.553	8405.549	0.020	0
57	130	La	-81627.366	25.946	8356.191	0.200	0
58	130	Ce	-79422.905	27.945	8333.216	0.215	0
59	130	Pr	-71175.457	64.273	8263.756	0.494	0
60	130	Nd	-66596.232	27.945	8222.513	0.215	0
61	130	Pm	-55396.	196.	8130.	2.	1
62	130	Sm	-47506.	401.	8064.	3.	1
63	130	Eu	-33683.	500.	7951.	4.	1
47	131	Ag	-40380.	500.	8099.	4.	1
48	131	Cd	-55218.965	102.464	8206.175	0.782	0
49	131	In	-68025.030	2.701	8297.959	0.021	0
50	131	Sn	-77264.571	3.621	8362.517	0.028	0
51	131	Sb	-81981.401	2.084	8392.552	0.016	0
52	131	Te	-85211.012	0.061	8411.233	0.001	0
53	131	I	-87442.710	0.605	8422.297	0.005	0
54	131	Xe	-88413.558	0.009	8423.736	0.000	0
55	131	Cs	-88058.786	4.974	8415.056	0.038	0
56	131	Ba	-86683.731	2.569	8398.587	0.020	0
57	131	La	-83769.256	27.945	8370.367	0.213	0
58	131	Ce	-79708.440	32.802	8333.396	0.250	0
59	131	Pr	-74300.656	46.995	8286.143	0.359	0
60	131	Nd	-67768.033	27.517	8230.304	0.210	0
61	131	Pm	-59660.	200.	8162.	2.	1
62	131	Sm	-50133.	401.	8084.	3.	1
63	131	Eu	-39270.	401.	7995.	3.	1
47	132	Ag	-33790.	500.	8049.	4.	1
48	132	Cd	-50263.	196.	8168.	1.	1
49	132	In	-62411.542	60.033	8253.715	0.455	0
50	132	Sn	-76546.542	1.976	8354.872	0.015	0
51	132	Sb	-79635.271	2.467	8372.344	0.019	0
52	132	Te	-85188.186	3.486	8408.485	0.026	0
53	132	I	-85703.490	4.065	8406.462	0.031	0
54	132	Xe	-89278.96179	0.00515	8427.622	0.000	0
55	132	Cs	-87152.681	1.036	8405.587	0.008	0
56	132	Ba	-88435.017	1.054	8409.375	0.008	0
57	132	La	-83723.650	36.359	8367.756	0.275	0
58	132	Ce	-82470.896	20.442	8352.338	0.155	0
59	132	Pr	-75227.456	28.876	8291.537	0.219	0
60	132	Nd	-71425.807	24.205	8256.810	0.183	0
61	132	Pm	-61628.	149.	8177.	1.	1
62	132	Sm	-55079.	298.	8121.	2.	1
63	132	Eu	-42200.	400.	8018.	3.	1
48	133	Cd	-43920.	298.	8119.	2.	1
49	133	In	-57464.	196.	8215.	1.	1
50	133	Sn	-70873.880	1.904	8310.088	0.014	0
51	133	Sb	-78923.503	3.128	8364.729	0.024	0
52	133	Te	-82937.122	2.066	8389.025	0.016	0
53	133	I	-85858.260	6.427	8405.106	0.048	0
54	133	Xe	-87643.571	2.400	8412.647	0.018	0
55	133	Cs	-88070.931	0.008	8409.978	0.000	0
56	133	Ba	-87553.613	0.992	8400.206	0.007	0
57	133	La	-85494.383	27.945	8378.841	0.210	0
58	133	Ce	-82418.214	16.354	8349.829	0.123	0
59	133	Pr	-77937.581	12.497	8310.258	0.094	0
60	133	Nd	-72332.372	46.575	8262.231	0.350	0
61	133	Pm	-65407.646	50.301	8204.283	0.378	0
62	133	Sm	-57231.	298.	8137.	2.	1
63	133	Eu	-47236.	298.	8056.	2.	1
64	133	Gd	-35860.	500.	7964.	4.	1
48	134	Cd	-38920.	400.	8082.	3.	1
49	134	In	-51661.	298.	8171.	2.	1
50	134	Sn	-66433.748	3.167	8275.171	0.024	0
51	134	Sb	-74020.542	1.705	8325.950	0.013	0
52	134	Te	-82533.741	2.746	8383.643	0.020	0
53	134	I	-84043.429	4.857	8389.071	0.036	0
54	134	Xe	-88125.822	0.009	8413.699	0.000	0
55	134	Cs	-86891.154	0.016	8398.646	0.000	0
56	134	Ba	-88949.853	0.304	8408.171	0.002	0
57	134	La	-85218.650	19.930	8374.488	0.149	0
58	134	Ce	-84832.889	20.387	8365.771	0.152	0
59	134	Pr	-78527.991	20.316	8312.881	0.152	0
60	134	Nd	-75646.432	11.817	8285.538	0.088	0
61	134	Pm	-66738.751	57.753	8213.225	0.431	0
62	134	Sm	-61376.	196.	8167.	1.	1
63	134	Eu	-49928.	298.	8076.	2.	1
64	134	Gd	-41302.	401.	8006.	3.	1
49	135	In	-46528.	401.	8132.	3.	1
50	135	Sn	-60632.244	3.074	8230.687	0.023	0
51	135	Sb	-69690.323	2.640	8291.989	0.020	0
52	135	Te	-77728.780	1.722	8345.738	0.013	0
53	135	I	-83779.145	2.061	8384.760	0.015	0
54	135	Xe	-86413.151	3.720	8398.476	0.028	0
55	135	Cs	-87581.643	0.992	8401.336	0.007	0
56	135	Ba	-87850.498	0.306	8397.533	0.002	0
57	135	La	-86643.317	9.434	8382.795	0.070	0
58	135	Ce	-84616.171	10.267	8361.984	0.076	0
59	135	Pr	-80935.861	11.817	8328.928	0.088	0
60	135	Nd	-76213.609	19.128	8288.153	0.142	0
61	135	Pm	-70052.075	75.451	8236.717	0.559	0
62	135	Sm	-62857.215	154.628	8177.626	1.145	0
63	135	Eu	-54148.	196.	8107.	1.	1
64	135	Gd	-44390.	400.	8029.	3.	1
65	135	Tb	-32825.	401.	7938.	3.	1
49	136	In	-40510.	400.	8087.	3.	1
50	136	Sn	-55899.	298.	8195.	2.	1
51	136	Sb	-64506.880	5.830	8252.252	0.043	0
52	136	Te	-74425.269	2.281	8319.429	0.017	0
53	136	I	-79545.214	14.188	8351.323	0.104	0
54	136	Xe	-86429.159	0.007	8396.188	0.000	0
55	136	Cs	-86338.697	1.882	8389.770	0.014	0
56	136	Ba	-88886.921	0.306	8402.755	0.002	0
57	136	La	-86037.479	53.171	8376.050	0.391	0
58	136	Ce	-86508.372	0.408	8373.760	0.003	0
59	136	Pr	-81340.355	11.455	8330.008	0.084	0
60	136	Nd	-79199.287	11.817	8308.512	0.087	0
61	136	Pm	-71169.915	69.073	8243.720	0.508	0
62	136	Sm	-66810.890	12.497	8205.916	0.092	0
63	136	Eu	-56244.	196.	8122.	1.	1
64	136	Gd	-49090.	298.	8064.	2.	1
65	136	Tb	-36130.	500.	7963.	4.	1
49	137	In	-35040.	500.	8047.	4.	1
50	137	Sn	-49788.	401.	8149.	3.	1
51	137	Sb	-60060.384	52.164	8218.476	0.381	0
52	137	Te	-69303.753	2.100	8280.235	0.015	0
53	137	I	-76356.258	8.383	8326.002	0.061	0
54	137	Xe	-82383.404	0.103	8364.286	0.001	0
55	137	Cs	-86545.606	0.358	8388.956	0.003	0
56	137	Ba	-87721.235	0.314	8391.827	0.002	0
57	137	La	-87140.688	1.659	8381.879	0.012	0
58	137	Ce	-85918.588	0.437	8367.248	0.003	0
59	137	Pr	-83201.693	8.137	8341.706	0.059	0
60	137	Nd	-79584.567	11.737	8309.593	0.086	0
61	137	Pm	-74072.848	13.041	8263.651	0.095	0
62	137	Sm	-68026.525	42.395	8213.806	0.309	0
63	137	Eu	-60145.895	4.378	8150.573	0.032	0
64	137	Gd	-51214.	298.	8080.	2.	1
65	137	Tb	-40967.	401.	7999.	3.	1
50	138	Sn	-44861.	503.	8113.	4.	1
51	138	Sb	-54220.403	1064.232	8175.091	7.712	0
52	138	Te	-65695.985	3.787	8252.578	0.027	0
53	138	I	-71979.900	5.962	8292.444	0.043	0
54	138	Xe	-79972.233	2.804	8344.690	0.020	0
55	138	Cs	-82886.937	9.159	8360.142	0.066	0
56	138	Ba	-88261.638	0.317	8393.420	0.002	0
57	138	La	-86519.180	3.188	8375.125	0.023	0
58	138	Ce	-87570.922	4.931	8377.077	0.036	0
59	138	Pr	-83133.922	11.150	8339.255	0.081	0
60	138	Nd	-82018.310	11.601	8325.502	0.084	0
61	138	Pm	-74940.483	27.739	8268.544	0.201	0
62	138	Sm	-71497.762	11.817	8237.928	0.086	0
63	138	Eu	-61749.669	27.945	8161.620	0.202	0
64	138	Gd	-55800.	196.	8113.	1.	1
65	138	Tb	-43668.	298.	8019.	2.	1
66	138	Dy	-34931.	503.	7950.	4.	1
50	139	Sn	-38440.	500.	8066.	4.	1
51	139	Sb	-49788.	401.	8142.	3.	1
52	139	Te	-60205.072	3.540	8211.771	0.025	0
53	139	I	-68470.954	4.005	8265.609	0.029	0
54	139	Xe	-75644.576	2.142	8311.590	0.015	0
55	139	Cs	-80700.921	3.140	8342.338	0.023	0
56	139	Ba	-84913.751	0.319	8367.017	0.002	0
57	139	La	-87226.212	2.009	8378.025	0.014	0
58	139	Ce	-86947.862	7.230	8370.395	0.052	0
59	139	Pr	-84818.798	7.809	8349.449	0.056	0
60	139	Nd	-82013.942	27.600	8323.642	0.199	0
61	139	Pm	-77500.481	13.593	8285.543	0.098	0
62	139	Sm	-72380.219	10.884	8243.078	0.078	0
63	139	Eu	-65398.042	13.151	8187.218	0.095	0
64	139	Gd	-57632.	196.	8126.	1.	1
65	139	Tb	-48130.	298.	8052.	2.	1
66	139	Dy	-37642.	503.	7971.	4.	1
51	140	Sb	-43939.	596.	8100.	4.	1
52	140	Te	-56576.228	62.410	8184.847	0.446	0
53	140	I	-63606.213	12.109	8229.473	0.086	0
54	140	Xe	-72986.451	2.329	8290.887	0.017	0
55	140	Cs	-77050.105	8.201	8314.325	0.059	0
56	140	Ba	-83269.354	7.933	8353.160	0.057	0
57	140	La	-84315.871	2.009	8355.047	0.014	0
58	140	Ce	-88076.089	1.596	8376.317	0.011	0
59	140	Pr	-84688.089	6.209	8346.529	0.044	0
60	140	Nd	-84258.912	3.447	8337.875	0.025	0
61	140	Pm	-78213.712	24.246	8289.107	0.173	0
62	140	Sm	-75455.935	12.497	8263.820	0.089	0
63	140	Eu	-66985.935	51.538	8197.732	0.368	0
64	140	Gd	-61782.271	27.945	8154.975	0.200	0
65	140	Tb	-50482.271	800.488	8068.672	5.718	0
66	140	Dy	-42830.	401.	8008.	3.	1
67	140	Ho	-29259.	503.	7906.	4.	1
51	141	Sb	-39110.	500.	8066.	4.	1
52	141	Te	-50487.	401.	8141.	3.	1
53	141	I	-59926.657	15.835	8202.255	0.112	0
54	141	Xe	-68197.299	2.888	8255.364	0.020	0
55	141	Cs	-74477.523	9.195	8294.356	0.065	0
56	141	Ba	-79732.626	5.319	8326.078	0.038	0
57	141	La	-82931.636	4.219	8343.217	0.030	0
58	141	Ce	-85432.916	1.597	8355.408	0.011	0
59	141	Pr	-86015.644	1.665	8353.992	0.012	0
60	141	Nd	-84192.630	3.265	8335.515	0.023	0
61	141	Pm	-80522.921	13.972	8303.940	0.099	0
62	141	Sm	-75933.909	8.539	8265.845	0.061	0
63	141	Eu	-69925.629	12.639	8217.684	0.090	0
64	141	Gd	-63224.224	19.760	8164.608	0.140	0
65	141	Tb	-54540.837	105.259	8097.475	0.747	0
66	141	Dy	-45382.	298.	8027.	2.	1
67	141	Ho	-34364.	401.	7943.	3.	1
52	142	Te	-46370.	503.	8111.	4.	1
53	142	I	-54769.984	374.461	8165.019	2.637	0
54	142	Xe	-65229.639	2.701	8233.169	0.019	0
55	142	Cs	-70514.550	7.067	8264.877	0.050	0
56	142	Ba	-77842.264	5.920	8310.971	0.042	0
57	142	La	-80024.227	6.309	8320.828	0.044	0
58	142	Ce	-84533.188	2.509	8347.071	0.018	0
59	142	Pr	-83787.476	1.665	8336.310	0.012	0
60	142	Nd	-85949.980	1.368	8346.030	0.010	0
61	142	Pm	-81142.044	23.597	8306.662	0.166	0
62	142	Sm	-78986.470	3.079	8285.972	0.022	0
63	142	Eu	-71313.470	30.158	8226.427	0.212	0
64	142	Gd	-66959.515	27.945	8190.256	0.197	0
65	142	Tb	-56559.515	700.558	8111.507	4.934	0
66	142	Dy	-50120.	729.	8061.	5.	1
67	142	Ho	-37250.	401.	7965.	3.	1
68	142	Er	-28030.	500.	7894.	4.	1
52	143	Te	-40278.	503.	8068.	4.	1
53	143	I	-50630.	200.	8135.	1.	1
54	143	Xe	-60202.873	4.657	8196.885	0.033	0
55	143	Cs	-67675.509	7.573	8243.670	0.053	0
56	143	Ba	-73937.197	6.756	8281.987	0.047	0
57	143	La	-78171.515	7.330	8306.127	0.051	0
58	143	Ce	-81606.671	2.508	8324.678	0.018	0
59	143	Pr	-83068.246	1.897	8329.428	0.013	0
60	143	Nd	-84002.234	1.367	8330.488	0.010	0
61	143	Pm	-82960.651	2.996	8317.733	0.021	0
62	143	Sm	-79517.152	2.804	8288.182	0.020	0
63	143	Eu	-74241.300	10.986	8245.817	0.077	0
64	143	Gd	-68231.300	200.301	8198.318	1.401	0
65	143	Tb	-60419.183	51.232	8138.217	0.358	0
66	143	Dy	-52168.941	13.041	8075.052	0.091	0
67	143	Ho	-42048.	298.	7999.	2.	1
68	143	Er	-31260.	400.	7918.	3.	1
53	144	I	-45280.	401.	8098.	3.	1
54	144	Xe	-56872.293	5.310	8172.884	0.037	0
55	144	Cs	-63271.353	20.132	8211.889	0.140	0
56	144	Ba	-71767.121	7.136	8265.454	0.050	0
57	144	La	-74849.652	12.937	8281.428	0.090	0
58	144	Ce	-80431.870	2.885	8314.760	0.020	0
59	144	Pr	-80750.517	2.762	8311.540	0.019	0
60	144	Nd	-83747.957	1.367	8326.922	0.009	0
61	144	Pm	-81416.093	2.964	8305.296	0.021	0
62	144	Sm	-81965.535	1.554	8303.679	0.011	0
63	144	Eu	-75619.133	10.789	8254.173	0.075	0
64	144	Gd	-71759.504	27.945	8221.937	0.194	0
65	144	Tb	-62368.181	27.945	8151.287	0.194	0
66	144	Dy	-56570.083	7.173	8105.589	0.050	0
67	144	Ho	-44609.513	8.477	8017.097	0.059	0
68	144	Er	-36608.	196.	7956.	1.	1
69	144	Tm	-22259.	400.	7851.	3.	1
53	145	I	-40939.	503.	8068.	3.	1
54	145	Xe	-51493.329	11.178	8135.087	0.077	0
55	145	Cs	-60054.415	9.067	8188.733	0.063	0
56	145	Ba	-67516.176	8.477	8234.798	0.058	0
57	145	La	-72835.317	12.269	8266.087	0.085	0
58	145	Ce	-77067.022	33.902	8289.875	0.234	0
59	145	Pr	-79625.940	7.169	8302.127	0.049	0
60	145	Nd	-81431.951	1.384	8309.187	0.010	0
61	145	Pm	-81267.474	2.859	8302.657	0.020	0
62	145	Sm	-80651.318	1.578	8293.013	0.011	0
63	145	Eu	-77991.507	3.106	8269.274	0.021	0
64	145	Gd	-72926.320	19.709	8228.946	0.136	0
65	145	Tb	-66388.411	109.174	8178.461	0.753	0
66	145	Dy	-58242.599	6.520	8116.888	0.045	0
67	145	Ho	-49120.105	7.452	8048.578	0.051	0
68	145	Er	-39240.	200.	7975.	1.	1
69	145	Tm	-27583.	196.	7889.	1.	1
54	146	Xe	-47954.943	24.219	8110.415	0.166	0
55	146	Cs	-55310.372	2.893	8155.436	0.020	0
56	146	Ba	-64947.086	20.863	8216.082	0.143	0
57	146	La	-69050.283	33.616	8238.828	0.230	0
58	146	Ce	-75635.389	16.306	8278.573	0.112	0
59	146	Pr	-76681.006	34.816	8280.376	0.238	0
60	146	Nd	-80925.867	1.386	8304.092	0.009	0
61	146	Pm	-79454.309	4.308	8288.654	0.030	0
62	146	Sm	-80996.309	3.092	8293.857	0.021	0
63	146	Eu	-77117.541	6.026	8261.932	0.041	0
64	146	Gd	-76085.783	4.108	8249.506	0.028	0
65	146	Tb	-67763.610	44.862	8187.146	0.307	0
66	146	Dy	-62554.918	6.695	8146.112	0.046	0
67	146	Ho	-51238.219	6.587	8063.242	0.045	0
68	146	Er	-44322.012	6.705	8010.512	0.046	0
69	146	Tm	-31055.	200.	7914.	1.	1
54	147	Xe	-42360.	200.	8072.	1.	1
55	147	Cs	-51920.064	8.383	8131.800	0.057	0
56	147	Ba	-60264.029	19.748	8183.240	0.134	0
57	147	La	-66678.390	10.712	8221.553	0.073	0
58	147	Ce	-72013.891	8.580	8252.527	0.058	0
59	147	Pr	-75444.067	15.857	8270.539	0.108	0
60	147	Nd	-78146.748	1.388	8283.603	0.009	0
61	147	Pm	-79042.260	1.399	8284.372	0.010	0
62	147	Sm	-79266.354	1.372	8280.575	0.009	0
63	147	Eu	-77544.756	2.630	8263.541	0.018	0
64	147	Gd	-75356.945	1.965	8243.336	0.013	0
65	147	Tb	-70742.665	8.100	8206.624	0.055	0
66	147	Dy	-64196.038	8.849	8156.767	0.060	0
67	147	Ho	-55757.092	5.001	8094.037	0.034	0
68	147	Er	-46607.807	38.191	8026.475	0.260	0
69	147	Tm	-35974.400	6.839	7948.817	0.047	0
54	148	Xe	-38600.	300.	8047.	2.	1
55	148	Cs	-46910.942	13.041	8097.546	0.088	0
56	148	Ba	-57593.735	63.079	8164.441	0.426	0
57	148	La	-62708.735	19.468	8193.716	0.132	0
58	148	Ce	-70398.408	11.195	8240.387	0.076	0
59	148	Pr	-72535.424	15.043	8249.540	0.102	0
60	148	Nd	-77407.996	2.127	8277.177	0.014	0
61	148	Pm	-76865.716	5.723	8268.226	0.039	0
62	148	Sm	-79336.264	1.367	8279.633	0.009	0
63	148	Eu	-76299.331	10.013	8253.827	0.068	0
64	148	Gd	-76269.329	1.554	8248.338	0.011	0
65	148	Tb	-70537.082	12.464	8204.321	0.084	0
66	148	Dy	-67859.550	8.724	8180.943	0.059	0
67	148	Ho	-57991.158	83.834	8108.979	0.566	0
68	148	Er	-51478.989	10.246	8059.692	0.069	0
69	148	Tm	-38765.027	10.246	7968.500	0.069	0
70	148	Yb	-30330.	400.	7906.	3.	1
55	149	Cs	-43250.	400.	8073.	3.	1
56	149	Ba	-53120.309	437.802	8133.793	2.938	0
57	149	La	-60219.913	200.262	8176.191	1.344	0
58	149	Ce	-66669.913	10.246	8214.229	0.069	0
59	149	Pr	-71039.366	9.874	8238.303	0.066	0
60	149	Nd	-74375.466	2.128	8255.442	0.014	0
61	149	Pm	-76064.256	2.267	8261.526	0.015	0
62	149	Sm	-77135.737	1.311	8263.466	0.009	0
63	149	Eu	-76441.112	3.951	8253.554	0.027	0
64	149	Gd	-75127.011	3.360	8239.484	0.023	0
65	149	Tb	-71488.669	3.667	8209.815	0.025	0
66	149	Dy	-67695.909	9.221	8179.109	0.062	0
67	149	Ho	-61646.578	11.990	8133.259	0.080	0
68	149	Er	-53741.615	27.945	8074.955	0.188	0
69	149	Tm	-43883.	196.	8004.	1.	1
70	149	Yb	-33198.	300.	7927.	2.	1
55	150	Cs	-38170.	400.	8039.	3.	1
56	150	Ba	-49900.	300.	8112.	2.	1
57	150	La	-56129.966	435.473	8148.225	2.903	0
58	150	Ce	-64846.854	11.697	8201.122	0.078	0
59	150	Pr	-68300.479	9.015	8218.931	0.060	0
60	150	Nd	-73679.755	1.289	8249.577	0.009	0
61	150	Pm	-73597.139	20.041	8243.810	0.134	0
62	150	Sm	-77051.139	1.274	8261.621	0.009	0
63	150	Eu	-74792.234	6.253	8241.346	0.042	0
64	150	Gd	-75763.934	6.076	8242.609	0.041	0
65	150	Tb	-71105.721	7.384	8206.338	0.049	0
66	150	Dy	-69309.600	4.348	8189.149	0.029	0
67	150	Ho	-61945.881	14.168	8134.842	0.094	0
68	150	Er	-57831.313	17.195	8102.195	0.115	0
69	150	Tm	-46491.	196.	8021.	1.	1
70	150	Yb	-38638.	300.	7964.	2.	1
71	150	Lu	-24640.	300.	7865.	2.	1
55	151	Cs	-34230.	500.	8013.	3.	1
56	151	Ba	-44940.	400.	8079.	3.	1
57	151	La	-53310.333	435.473	8129.043	2.884	0
58	151	Ce	-61225.052	17.698	8176.277	0.117	0
59	151	Pr	-66779.630	11.651	8207.881	0.077	0
60	151	Nd	-70942.988	1.293	8230.272	0.009	0
61	151	Pm	-73386.063	4.653	8241.270	0.031	0
62	151	Sm	-74576.279	1.273	8243.971	0.008	0
63	151	Eu	-74652.854	1.325	8239.297	0.009	0
64	151	Gd	-74188.737	3.056	8231.043	0.020	0
65	151	Tb	-71623.504	4.137	8208.873	0.027	0
66	151	Dy	-68752.405	3.293	8184.678	0.022	0
67	151	Ho	-63622.738	8.302	8145.526	0.055	0
68	151	Er	-58266.284	16.470	8104.872	0.109	0
69	151	Tm	-50772.756	19.416	8050.064	0.129	0
70	151	Yb	-41542.342	300.492	7983.755	1.990	0
71	151	Lu	-30108.	300.	7903.	2.	1
55	152	Cs	-28930.	500.	7979.	3.	1
56	152	Ba	-41710.	400.	8057.	3.	1
57	152	La	-49290.	300.	8102.	2.	1
58	152	Ce	-58980.	200.	8161.	1.	1
59	152	Pr	-63758.063	18.537	8187.104	0.122	0
60	152	Nd	-70149.407	24.485	8224.005	0.161	0
61	152	Pm	-71254.186	25.912	8226.127	0.170	0
62	152	Sm	-74762.603	1.212	8244.061	0.008	0
63	152	Eu	-72888.255	1.326	8226.583	0.009	0
64	152	Gd	-74706.916	1.206	8233.401	0.008	0
65	152	Tb	-70716.916	40.018	8202.004	0.263	0
66	152	Dy	-70117.873	4.624	8192.916	0.030	0
67	152	Ho	-63604.771	12.529	8144.919	0.082	0
68	152	Er	-60500.377	8.830	8119.349	0.058	0
69	152	Tm	-51720.273	54.027	8056.438	0.355	0
70	152	Yb	-46270.381	149.708	8015.436	0.985	0
71	152	Lu	-33422.	196.	7926.	1.	1
56	153	Ba	-36470.	400.	8023.	3.	1
57	153	La	-46060.	300.	8081.	2.	1
58	153	Ce	-54910.	200.	8134.	1.	1
59	153	Pr	-61568.463	11.882	8172.036	0.078	0
60	153	Nd	-67330.297	2.747	8204.582	0.018	0
61	153	Pm	-70647.824	9.066	8221.152	0.059	0
62	153	Sm	-72559.686	1.219	8228.534	0.008	0
63	153	Eu	-73367.222	1.330	8228.699	0.009	0
64	153	Gd	-72882.551	1.203	8220.418	0.008	0
65	153	Tb	-71313.338	3.995	8205.048	0.026	0
66	153	Dy	-69142.943	4.048	8185.749	0.026	0
67	153	Ho	-65012.103	5.094	8153.637	0.033	0
68	153	Er	-60468.604	9.321	8118.827	0.061	0
69	153	Tm	-53973.329	11.983	8071.261	0.078	0
70	153	Yb	-47208.	196.	8022.	1.	1
71	153	Lu	-38372.844	150.034	7959.070	0.981	0
72	153	Hf	-27300.	300.	7882.	2.	1
56	154	Ba	-32820.	500.	8000.	3.	1
57	154	La	-41530.	300.	8051.	2.	1
58	154	Ce	-52220.	200.	8116.	1.	1
59	154	Pr	-58104.976	113.009	8148.892	0.734	0
60	154	Nd	-65824.976	52.642	8193.942	0.342	0
61	154	Pm	-68511.976	46.326	8206.310	0.301	0
62	154	Sm	-72455.176	1.462	8226.835	0.009	0
63	154	Eu	-71738.121	1.346	8217.098	0.009	0
64	154	Gd	-73705.954	1.197	8224.796	0.008	0
65	154	Tb	-70156.303	45.314	8196.666	0.294	0
66	154	Dy	-70393.907	7.445	8193.129	0.048	0
67	154	Ho	-64639.311	8.228	8150.681	0.053	0
68	154	Er	-62605.020	4.986	8132.392	0.032	0
69	154	Tm	-54427.131	14.412	8074.208	0.094	0
70	154	Yb	-49932.083	17.281	8039.939	0.112	0
71	154	Lu	-39715.	196.	7969.	1.	1
72	154	Hf	-32670.	300.	7918.	2.	1
57	155	La	-37930.	400.	8028.	3.	1
58	155	Ce	-47780.	300.	8087.	2.	1
59	155	Pr	-55415.268	17.198	8131.039	0.111	0
60	155	Nd	-62283.724	9.153	8170.304	0.059	0
61	155	Pm	-66939.931	4.718	8195.296	0.030	0
62	155	Sm	-70190.819	1.487	8211.223	0.010	0
63	155	Eu	-71818.092	1.401	8216.674	0.009	0
64	155	Gd	-72069.880	1.191	8213.251	0.008	0
65	155	Tb	-71250.050	9.849	8202.914	0.064	0
66	155	Dy	-69155.550	9.665	8184.354	0.062	0
67	155	Ho	-66039.539	17.474	8159.203	0.113	0
68	155	Er	-62209.189	6.098	8129.444	0.039	0
69	155	Tm	-56625.913	9.925	8088.375	0.064	0
70	155	Yb	-50502.608	16.600	8043.823	0.107	0
71	155	Lu	-42545.047	19.246	7987.436	0.124	0
72	155	Hf	-34170.	298.	7928.	2.	1
73	155	Ta	-23928.	300.	7857.	2.	1
57	156	La	-33050.	400.	7997.	3.	1
58	156	Ce	-44820.	300.	8068.	2.	1
59	156	Pr	-51568.	200.	8106.	1.	1
60	156	Nd	-60473.644	200.033	8158.066	1.282	0
61	156	Pm	-64163.644	3.631	8176.705	0.023	0
62	156	Sm	-69360.430	8.546	8205.003	0.055	0
63	156	Eu	-70082.548	3.590	8204.617	0.023	0
64	156	Gd	-72534.914	1.190	8215.322	0.008	0
65	156	Tb	-70090.797	3.814	8194.639	0.024	0
66	156	Dy	-70528.964	1.194	8192.433	0.008	0
67	156	Ho	-65478.964	60.012	8155.046	0.385	0
68	156	Er	-64211.709	24.629	8141.908	0.158	0
69	156	Tm	-56834.550	14.279	8089.603	0.092	0
70	156	Yb	-53265.721	9.308	8061.711	0.060	0
71	156	Lu	-43699.544	54.122	7995.374	0.347	0
72	156	Hf	-37816.896	149.757	7952.650	0.960	0
73	156	Ta	-25861.	298.	7871.	2.	1
58	157	Ce	-39930.	400.	8037.	3.	1
59	157	Pr	-48540.	300.	8086.	2.	1
60	157	Nd	-56461.543	24.918	8131.959	0.159	0
61	157	Pm	-62297.043	7.006	8164.145	0.045	0
62	157	Sm	-66677.577	4.433	8187.063	0.028	0
63	157	Eu	-69458.908	4.259	8199.795	0.027	0
64	157	Gd	-70823.473	1.189	8203.504	0.008	0
65	157	Tb	-70763.430	1.222	8198.138	0.008	0
66	157	Dy	-69424.558	5.177	8184.627	0.033	0
67	157	Ho	-66832.832	23.469	8163.136	0.149	0
68	157	Er	-63413.639	26.505	8136.375	0.169	0
69	157	Tm	-58709.273	27.945	8101.428	0.178	0
70	157	Yb	-53421.898	10.920	8062.767	0.070	0
